Predictor,Countries_list
METASPAM,"['FIN', 'HKG', 'QCI']"
METASUM,"['FIN', 'ITA', 'MEX', 'POL', 'SGP']"
PERCOMP,"['ARG', 'AUS', 'AUT', 'BEL', 'BGR', 'BLR', 'BRA', 'BRN', 'CHE', 'COL', 'CRI', 'CZE', 'DEU', 'DNK', 'DOM', 'ESP', 'EST', 'FIN', 'GEO', 'GRC', 'HRV', 'HUN', 'IDN', 'KAZ', 'KOR', 'LTU', 'LUX', 'LVA', 'MAR', 'MDA', 'MEX', 'MNE', 'NZL', 'PAN', 'PER', 'PHL', 'PRT', 'QAZ', 'QCI', 'QMR', 'QRT', 'RUS', 'SRB', 'SVK', 'SVN', 'SWE', 'TAP', 'THA', 'UKR', 'URY', 'VNM']"
PERCOOP,"['ARG', 'AUT', 'BGR', 'BIH', 'BRA', 'BRN', 'CHE', 'COL', 'DEU', 'DNK', 'DOM', 'HUN', 'ISL', 'JOR', 'KAZ', 'LTU', 'MAR', 'MDA', 'MEX', 'MYS', 'NOR', 'PAN', 'PER', 'PHL', 'QAZ', 'QMR', 'QRT', 'SAU', 'SGP', 'SVK', 'TUR', 'UKR', 'URY']"
PERFEED,"['IRL', 'NOR']"
PV1MATH,"['ALB', 'BEL', 'CAN', 'IDN', 'ISL', 'LVA', 'NLD', 'QCI', 'SGP', 'TAP', 'THA', 'USA']"
PV1READ,"['ALB', 'ARE', 'ARG', 'AUS', 'AUT', 'BEL', 'BIH', 'BLR', 'BRA', 'BRN', 'CAN', 'CHE', 'CHL', 'COL', 'CRI', 'CZE', 'DEU', 'DNK', 'DOM', 'ESP', 'EST', 'FRA', 'GBR', 'GEO', 'GRC', 'HKG', 'HRV', 'HUN', 'IDN', 'ITA', 'KAZ', 'KSV', 'LTU', 'LUX', 'LVA', 'MAC', 'MAR', 'MEX', 'MLT', 'MYS', 'NLD', 'NOR', 'NZL', 'PAN', 'PER', 'PHL', 'POL', 'PRT', 'QAT', 'QAZ', 'QMR', 'QRT', 'ROU', 'RUS', 'SAU', 'SGP', 'SRB', 'SVK', 'SVN', 'SWE', 'TAP', 'THA', 'TUR', 'UKR', 'USA']"
PV1SCIE,"['AUT', 'BEL', 'BLR', 'BRA', 'BRN', 'DEU', 'ESP', 'FRA', 'HUN', 'KAZ', 'LTU', 'MAC', 'MEX', 'MYS', 'NLD', 'PHL', 'PRT', 'ROU', 'TAP', 'TUR']"
RATCMP1,['MAC']
RATCMP2,['VNM']
REPEAT,"['CRI', 'FRA', 'IDN', 'MDA', 'PHL', 'PRT', 'THA', 'URY', 'VNM']"
SCREADDIFF,"['ALB', 'ARE', 'BGR', 'BLR', 'DOM', 'GEO', 'HKG', 'JOR', 'KSV', 'MAC', 'MDA', 'MNE', 'PHL', 'QAT', 'ROU', 'SRB']"
ST004D01T,"['ALB', 'ARE', 'ARG', 'AUS', 'AUT', 'BEL', 'BIH', 'BLR', 'BRA', 'CAN', 'CHL', 'COL', 'CZE', 'DEU', 'DNK', 'DOM', 'ESP', 'EST', 'FIN', 'GBR', 'GEO', 'GRC', 'HKG', 'HRV', 'HUN', 'IDN', 'IRL', 'ITA', 'JOR', 'JPN', 'KAZ', 'KOR', 'KSV', 'LTU', 'LUX', 'LVA', 'MAC', 'MEX', 'MLT', 'MNE', 'MYS', 'NLD', 'NOR', 'NZL', 'POL', 'QAT', 'QAZ', 'QCI', 'QMR', 'QRT', 'ROU', 'RUS', 'SAU', 'SGP', 'SRB', 'SVK', 'SVN', 'SWE', 'TAP', 'THA', 'TUR', 'UKR', 'USA', 'VNM']"
ST184Q01HA,"['BGR', 'COL', 'DNK', 'GBR', 'JPN', 'LVA', 'MYS', 'PRT', 'QAT']"
ST185Q01HA,"['AUS', 'BEL', 'POL', 'SWE']"
ST206Q01HA,"['ALB', 'ARE', 'ARG', 'AUS', 'AUT', 'BEL', 'BGR', 'BRA', 'BRN', 'CHE', 'CHL', 'COL', 'CRI', 'DEU', 'DNK', 'DOM', 'ESP', 'FIN', 'FRA', 'GRC', 'HRV', 'HUN', 'IRL', 'ISL', 'ITA', 'JOR', 'KOR', 'KSV', 'LTU', 'MAC', 'MDA', 'MLT', 'NZL', 'PAN', 'POL', 'PRT', 'QAT', 'QAZ', 'ROU', 'RUS', 'SAU', 'SGP', 'SVK']"
ST207Q01HA,"['ARG', 'AUS', 'BGR', 'BIH', 'CAN', 'CHL', 'DNK', 'ESP', 'EST', 'FIN', 'GBR', 'GEO', 'GRC', 'IRL', 'ITA', 'JPN', 'KOR', 'LVA', 'MAC', 'MAR', 'MLT', 'MNE', 'NZL', 'PAN', 'PER', 'PHL', 'ROU', 'RUS', 'SAU', 'SRB', 'SVN', 'THA', 'UKR', 'URY', 'USA']"
ST207Q02HA,"['ALB', 'ARG', 'AUT', 'BGR', 'BIH', 'BRN', 'CAN', 'CHE', 'CHL', 'COL', 'CRI', 'CZE', 'DEU', 'ESP', 'EST', 'FRA', 'GBR', 'GEO', 'GRC', 'HRV', 'IRL', 'ISL', 'ITA', 'JOR', 'KAZ', 'KSV', 'LTU', 'LVA', 'MAR', 'MLT', 'MNE', 'PAN', 'PER', 'POL', 'QAT', 'QAZ', 'QCI', 'QMR', 'QRT', 'RUS', 'SAU', 'SRB', 'SVK', 'SVN', 'SWE', 'TUR', 'UKR', 'URY', 'VNM']"
ST207Q03HA,"['ARE', 'AUS', 'AUT', 'BIH', 'BLR', 'BRN', 'CAN', 'CHE', 'CHL', 'COL', 'DEU', 'DNK', 'DOM', 'ESP', 'EST', 'FIN', 'FRA', 'GBR', 'GEO', 'GRC', 'HRV', 'IDN', 'ISL', 'ITA', 'JOR', 'KAZ', 'KSV', 'LTU', 'LUX', 'MAR', 'MDA', 'MEX', 'MLT', 'MNE', 'MYS', 'NOR', 'NZL', 'PHL', 'QAT', 'QAZ', 'QRT', 'RUS', 'SRB', 'SVK', 'THA', 'USA', 'VNM']"
ST207Q04HA,"['ARE', 'ARG', 'BGR', 'BIH', 'BRA', 'CAN', 'CHE', 'CRI', 'DOM', 'FRA', 'GBR', 'GRC', 'HKG', 'JOR', 'KAZ', 'KSV', 'LUX', 'MAR', 'MDA', 'MNE', 'NLD', 'NZL', 'PAN', 'POL', 'PRT', 'QMR', 'ROU', 'RUS', 'SAU', 'SRB', 'SVN', 'TAP', 'THA', 'TUR', 'UKR', 'URY', 'USA', 'VNM']"
ST207Q05HA,"['ARE', 'BIH', 'BLR', 'BRN', 'CHL', 'CZE', 'FIN', 'FRA', 'HRV', 'HUN', 'IRL', 'ISL', 'ITA', 'LVA', 'MAR', 'MLT', 'MNE', 'MYS', 'NLD', 'PAN', 'PER', 'POL', 'QAT', 'QAZ', 'QRT', 'SVK', 'SVN', 'SWE', 'TAP', 'URY']"
STIMREAD,['QCI']
SWBP,"['CAN', 'CZE', 'FIN', 'GBR', 'HRV', 'IRL', 'LUX', 'QCI', 'SWE', 'USA']"
TEACHINT,"['CRI', 'NOR']"
TEACHSUP,"['JPN', 'NOR']"
UNDREM,"['NLD', 'QMR', 'TUR']"
WORKMAST,"['CZE', 'PER', 'SVN']"
